Accession,Improved,Original,Consensus
AY154458,2,Bluetongue virus 2,2
EF059720,1, Bluetongue virus 1,1
EF059728,9, Bluetongue virus 9,9
EF059730,12, Bluetongue virus 12,12
FJ183374,8, Bluetongue virus 8,8
FJ969719,1, Bluetongue virus,1
GU390658,12, Bluetongue virus,12
JF443166,9, Bluetongue virus 9,9
JN255156,26, Bluetongue virus,26
JN255862,2, Bluetongue virus 2,2
JN255872,2, Bluetongue virus 2,2
JN255882,4, Bluetongue virus 4,4
JN255892,4, Bluetongue virus 4,4
JN255902,9, Bluetongue virus 9,9
JN255912,9, Bluetongue virus 9,9
JN255922,2, Bluetongue virus 2,2
JN255932,2, Bluetongue virus 2,2
JN255942,4, Bluetongue virus 4,4
JN255952,9, Bluetongue virus 9,9
JN255962,9, Bluetongue virus 9,9
JN546202,24, Bluetongue virus,24
JN546203,Untyped, Bluetongue virus,Untyped
JN546204,Untyped, Bluetongue virus,Untyped
JN546205,Untyped, Bluetongue virus,Untyped
JN546206,24, Bluetongue virus,24
JN546207,Untyped, Bluetongue virus,Untyped
JN546208,Untyped, Bluetongue virus,Untyped
JN546210,Untyped, Bluetongue virus,Untyped
JN546211,Untyped, Bluetongue virus,Untyped
JN671906,Untyped, Bluetongue virus,Untyped
JN881985,Untyped, Bluetongue virus 1,1
JQ086221,Untyped, Bluetongue virus 15,15
JQ086231,Untyped, Bluetongue virus 16,16
JQ086241,Untyped, Bluetongue virus 2,2
JQ086251,Untyped, Bluetongue virus 20,20
JQ086261,Untyped, Bluetongue virus 21,21
JQ086271,Untyped, Bluetongue virus 23,23
JQ086281,Untyped, Bluetongue virus 3,3
JQ086291,Untyped, Bluetongue virus 7,7
JQ086301,Untyped, Bluetongue virus 9,9
JQ240321,Untyped, Bluetongue virus 2,2
JQ681257,2, Bluetongue virus,2
JQ713557,2, Bluetongue virus 2,2
JQ740771,10, Bluetongue virus 10,10
JQ771813,3, Bluetongue virus,3
JQ771823,23, Bluetongue virus 23,23
JQ924820,16, Bluetongue virus 16,16
JX003687,9, Bluetongue virus,9
JX272369,Untyped, Bluetongue virus 24,24
JX272379,Untyped, Bluetongue virus 1,1
JX272389,Untyped, Bluetongue virus 22,22
JX272399,Untyped, Bluetongue virus 23,23
JX272429,Untyped, Bluetongue virus 19,19
